"ID";"CODE";"NAME";"END_DATE"
2051;"430-000";"УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ МИГРАЦИОННОЙ СЛУЖБЫ ПО КИРОВСКОЙ ОБЛАСТИ";"2017-12-31 00:00:00"
3034;"021-001";"МВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3035;"022-001";"ДЕМСКИЙ РОВД Г. УФЫ";"2017-12-31 00:00:00"
3036;"022-002";"КАЛИНИНСКИМ РАЙОННЫМ УВД Г. УФЫ";"2017-12-31 00:00:00"
3037;"022-003";"КИРОВСКИМ РАЙОННЫМ УВД Г. УФЫ";"2017-12-31 00:00:00"
3038;"022-004";"ЛЕНИНСКИЙ РОВД Г. УФЫ";"2017-12-31 00:00:00"
3039;"022-005";"ОРДЖОНИКИДЗЕВСКОЕ РАЙОННОЕ УВД Г. УФЫ";"2017-12-31 00:00:00"
3040;"022-006";"ОКТЯБРЬСКОЕ РАЙОННОЕ УВД Г. УФЫ";"2017-12-31 00:00:00"
3041;"022-007";"СОВЕТСКОЕ РАЙОННОЕ УВД Г. УФЫ";"2017-12-31 00:00:00"
3042;"022-008";"ОВД Г. БЕЛЕБЕЯ И БЕЛЕБЕЕВСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3043;"022-009";"УВД Г. УФЫ";"2017-12-31 00:00:00"
3044;"022-010";"УВД Г.БЕЛОРЕЦКА И БЕЛОРЕЦКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3045;"022-011";"УВД Г. НЕФТЕКАМСКА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3046;"022-012";"Октябрьский городской ОВД Республики Башкортостан";"2017-12-31 00:00:00"
3047;"022-013";"УВД Г. САЛАВАТА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3048;"022-014";"СИБАЙСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3049;"022-015";"УВД Г. СТЕРЛИТАМАКА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3050;"022-016";"ОВД Г. БИРСКА И БИРСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3051;"022-017";"ОВД Г.ИШИМБАЯ И ИШИМБАЙСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3052;"022-019";"КУМЕРТАУСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3053;"022-020";"ОВД Г.ТУЙМАЗЫ И ТУЙМАЗИНСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3054;"022-021";"ОВД Г.УЧАЛЫ И УЧАЛИНСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3055;"022-022";"АБЗЕЛИЛОВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3056;"022-023";"АЛЬШЕЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3057;"022-024";"АРХАНГЕЛЬСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3058;"022-025";"АСКИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3059;"022-026";"АУРГАЗИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3060;"022-027";"ОВД Г. БАЙМАКА И БАЙМАКСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3061;"022-028";"БАКАЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3062;"022-029";"БАЛТАЧЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3063;"022-031";"БЕЛОКАТАЙСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3064;"022-033";"БИЖБУЛЯКСИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3065;"022-034";"БЛАГОВАРСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3066;"022-035";"ОВД Г.БЛАГОВЕЩЕНСКА И БЛАГОВЕЩЕНСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3067;"022-036";"БУЗДЯКСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3068;"022-037";"БУРАЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3069;"022-038";"БУРЗЯНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3070;"022-039";"ГАФУРИЙСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3071;"022-040";"ОВД Г.ДАВЛЕКАНОВО И ДАВЛЕКАНОВСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3072;"022-041";"ДУВАНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3073;"022-042";"ДЮРТЮЛИНСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3074;"022-043";"ЕРМЕКЕЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3075;"022-044";"ЗИАНЧУРИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3076;"022-045";"ЗИЛАИРСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3077;"022-046";"ИГЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3078;"022-047";"ИЛИШЕВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3079;"022-048";"КАЛТАСИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3080;"022-049";"КАРАИДЕЛЬСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3081;"022-050";"КАРМАСКАЛИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3082;"022-051";"КИГИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3083;"022-052";"КРАСНОКАМСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3084;"022-053";"КУГАРЧИНСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3085;"022-054";"КУШНАРЕНКОВСКИЙ РОВД РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
3086;"022-055";"ОВД Г.МЕЛЕУЗА И МЕЛЕУЗОВСКОГО Р-НА РЕСПУБЛИКИ БАШКОРТОСТАН";"2017-12-31 00:00:00"
